topic,id,username,name,user_followers_count,user_friends_count,text,created_at,favorite_count,retweet_count,hashtags,mentioned_urls,mentioned_user_ids,mentioned_user_names
covidvaccines,1385376482831179783,Diveshshah12,Diveshshah,106,117,"RT @pranavmahajan: This is important regarding #CovidVaccines. Pls read &amp; share.

Credit: @IndiaToday https://t.co/UNkzZRDmfl",2021-04-22 23:34:27,0,130,CovidVaccines,,"46645746,19897138","pranavmahajan,IndiaToday"
covidvaccines,1385376430297686016,StephanieisLive,Stephanie,3668,4995,"#CovidVaccines between #GenZ and #Millennials are the next #Challenge for 🇺🇸 and 🇬🇧. 💁‍♀️
https://t.co/eHG5jKIrWS",2021-04-22 23:34:14,0,0,"CovidVaccines,GenZ,Millennials,Challenge",https://t.co/eHG5jKIrWS,,
covidvaccines,1385374781978021888,AgiusK,Keith Agius,1402,1322,Why is nobody talking about efficacy of #COVIDVaccines against emerging #COVID19 variants? Surely if we're being inoculated with a vaccine that has little protection against variants then why not use the most efficacious &amp; when are updated vaccines due to be released? @normanswan,2021-04-22 23:27:41,1,0,"COVIDVaccines,COVID19",,246178914,normanswan
covidvaccines,1385374694648520705,bfes251,robert large,117,112,"@EvanLSolomon @fordnation All because #TrudeauFailedCanada  and did not purchase #COVIDVaccines  soon enough. we should of been giving the second shot by now but here we are scratching, borrowing and pleading with other countries to try to get enough vaccine just for people's first jab. #trudeau💩",2021-04-22 23:27:20,0,0,"TrudeauFailedCanada,COVIDVaccines,trudeau",,"180887271,2809959174","EvanLSolomon,fordnation"
covidvaccines,1385371245974327297,HANSKAI1,HANS KAI,71,144,Who are you getting vaccinated for? #GetVaccinated #getthevax #COVIDVaccines https://t.co/xZNjMhi27M,2021-04-22 23:13:38,0,0,"GetVaccinated,getthevax,COVIDVaccines",,,
covidvaccines,1385370601779601409,maryam_lustberg,Maryam Lustberg MD MPH,4422,3884,RT @DrSGraff: Met today with my co-panelists for a strategy session. Looking forward to the discussion on the intersection of #COVIDVaccine…,2021-04-22 23:11:05,0,2,,,838389180484898816,DrSGraff
covidvaccines,1385369670073548805,vmsunshine100,Fibonacci,113,297,RT @plsd2bme: @oni_blackstock @pfizer @moderna_tx @JoeBiden I had no idea??? I am disgusted by this. @pfizer #COVIDVaccines must be free. G…,2021-04-22 23:07:22,0,2,COVIDVaccines,,"2738989523,969781208321331201,56488059,2227355222,939091,56488059","plsd2bme,oni_blackstock,pfizer,moderna_tx,JoeBiden,pfizer"
covidvaccines,1385368649419083778,DrSGraff,"Stephanie Graff, MD, FACP",9832,3080,Met today with my co-panelists for a strategy session. Looking forward to the discussion on the intersection of #COVIDVaccines and #BreastCancer.   Join us! #bcsm https://t.co/0g7LKoQooq,2021-04-22 23:03:19,4,2,"COVIDVaccines,BreastCancer,bcsm",https://t.co/0g7LKoQooq,,
covidvaccines,1385365882822594561,Jayysster,Jay 🧢≥💵🔮,1240,4385,"RT @DrEricDing: Vaccines are working. Let’s keep it up people! 

And that also means **SHARE MORE VACCINES** with the world. 

(HT @jburnmu…",2021-04-22 22:52:19,0,500,,,18831926,DrEricDing
covidvaccines,1385364798855127042,CoombesLeanne,Leanne Coombes 🧙🏻‍♀️🧛🏻‍♀️🧜🏻‍♀️⚓️👻,457,1616,"RT @Transport_gc: Only #COVIDVaccines that are proven to be safe, effective, and high quality are authorized for use in Canada. Learn more…",2021-04-22 22:48:01,0,17,COVIDVaccines,,124190867,Transport_gc
