index,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Discovertech3,Just a bot helping developers and designers by retweeting their creation. Made with #nodejs by @ApratimMahata,Internet,1,1546,301587,1,"@francoislegault with the Covid cases increasing in younger age groups, and unused available vaccine appointments. WHY NOT OPEN UP TO ALL AGES AT THIS POINT? #unreal #COVID19 #qc #ThirdWave",[]
1,BettyB2007,"Loving every bit of life every day. Otherwise, what's the point?","New York, USA",218,39,10668,239,"#COVID19 hospitalization rates in several COVID-NET sites are increasing after weeks of decline. We all want to get back to normal but must remain cautious. 

Stop the spread. #WearAMask. Stay 6 feet apart. Get vaccinated when it's available to you. More: https://t.co/1VOhwYA4mc https://t.co/nFdFoCv78z",['COVID19']
2,InesMckee14,Stay safe and do not listen to eejits. 😷,"Islas Canarias, España",308,73,8234,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
3,LuCeleste15,Head of #Governance @BissauUNDP. #localizingSDGs supporter. Writing about #development #sustainingpeace #SDG16. TWs mine|re-TWs not endrs.,Guinea Bissau,762,419,2947,0,"While we continue to assess the impact of #COVID19 and rethink how to #buildforwardbetter, @UNUniversity presents a new research exploring future scenarios shaping global #governance, #development and #security. https://t.co/xuTeDNgbfP","['COVID19', 'buildforwardbetter', 'governance', 'development', 'security']"
4,HPMohapatra,"Librarian, ICRR, Phulbani,
District I & PR Office, Kandhamal(Odisha)",Phulbani-762001,43,66,6053,1,"#LastOver

🏏It is time to play well. We have NEARLY WON, the #vaccine is here.

🏏Time to continue your form and play a Solid Innings to win over the fight against #COVID19 

#IndiaFightsCorona #Unite2FightCorona https://t.co/uRXfLM6LPG","['LastOver', 'vaccine']"
5,cricdrugs,Little Things!,Cricket Ground,283,3424,174324,0,These Covid19 situation 😭😭😭 https://t.co/b3qlrEFtgC,[]
6,_Cris_20,Especialista en Medicina preventiva y Salud Pública trabajando en Sanidad Exterior.,,852,238,1356,2007,"People fully vaccinated against #COVID19 can travel within the United States and do not need COVID-19 testing or post-travel self-quarantine as long as they continue to take precautions while traveling: #WearAMask, avoid crowds, and wash hands frequently. https://t.co/9uzBuFZyWE https://t.co/C7V8Ip0jJv",['COVID19']
7,globalhealthbot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about global health #globalhealth and health education to improve health around the world,,1,523,30424,1,Public health education post-COVID-19: a proposal for critical revisions | BMJ Global Health ⁦@mihm_chris⁩ - these recommendations reinforce our breakfast conversation ⁦@gwNURSING⁩ #nursetwitter #publichealth ⁦@ACHNEorg⁩ #covid19 https://t.co/d95PBeyMp5,[]
8,Susan_Hennessey,"Lawfare Executive Editor, Brookings Senior Fellow, Former IC attorney.","Washington, DC",711,369009,2220,1,"""The vaccine is, to me, I believe, is saving life, and that's what Jesus Christ would want us to do, to help save life. It's just a tool to help save life,"" Evangelical leader Franklin Graham to @kathrynw5 of @CBSNews #covid19 #Vaccines4All https://t.co/bdhre7an5A",[]
9,AmyJaffeenergy,I am managing director of Climate Policy Lab and research professor at Tufts University Fletcher School @fletcherschool,"Boston, MA",796,9658,32816,5,"How do the agendas of the complex problems we face today, like #COVID19 &amp; #climateaction, interrelate? #FletcherDean @rkyte365 will explore in her upcoming #FletcherLive #FletcherExecEd course: 2021 - A Super-Year for Sustainable Development Diplomacy.

🔗 https://t.co/lFYGXV2u98 https://t.co/uffQ6FyH9m","['COVID19', 'climateaction', 'FletcherDean']"
10,GahlotPappan,A Delhi based farmer.,,956,607,1872,0,"Covid-19: India administers over 36 lakh vaccines in a day, highest so far
https://t.co/TBw42Oj7m2 
@narendramodi @AmitShah @adeshguptabjp @BJP4Delhi @BJP4India @siddharthanbjp @blsanthosh @PMOIndia https://t.co/2Gp20xB6gR",[]
11,thermosoflask,Pulls his weight for the NHS. Wrexham FC supporter. Welshpool.,Wales. ,1586,644,5163,0,Excellent service from @sathNHS this afternoon when I attended my #COVID19 appointment for my 2nd jab. Well done to all involved.,['COVID19']
12,bailey_hass,"PhD, Research Fellow in Material modelling, University of Leeds, Department of Applied Maths.","Barnsley, England",105,176,1610,13,"""I am a little different from most academic infectious disease epidemiologists, as most of my collaborations are with public health departments."" My frank discussion of #COVID19 strategy with the smart and entertaining @VPrasadMDMPH at @UCSF. 
https://t.co/C3S2guGMT7",[]
