index,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,PowerHourNation,The Original Power Hour Radio Show founded by Joyce Riley. We focus on subjects that inform and educate people every day to the real challenges that we face.,"Missouri, USA",131,1224,18983,0,"How quick we all forget!

https://t.co/YzMmuxoxZR 
#SayNoToVaccines #HydroxyChloroquine  
https://t.co/e8WOm1cIYR","['SayNoToVaccines', 'HydroxyChloroquine']"
1,James_IsFree,"Exposer of evil, animal-lover, believer in #DadInHeaven & #JesusChrist, #PreTribRapture believer, & #FlatEarther. The Trinitarian doctrine is a lie.","Exeter, England",3533,3602,48904,0,"A Glaring Contradiction

https://t.co/cMD6ko5Khk

#CoronaVirusHOAX #FakePandemic #COVID19Lie #VotingDoesNotWork #TheWorldIsAStage #PoliticalTheatre #Agenda21 #TheGreatReset #WorldEconomicForum #SayNoToVaccines","['CoronaVirusHOAX', 'FakePandemic', 'COVID19Lie', 'VotingDoesNotWork', 'TheWorldIsAStage', 'PoliticalTheatre', 'Agenda21', 'TheGreatReset', 'WorldEconomicForum', 'SayNoToVaccines']"
2,pamjanemilner,,ireland,187,96,1882,1,Why are all the health conscious celebrities not speaking up?? #novaccinepassports #saynotovaccines #ivermectin #billgatesofhell,"['novaccinepassports', 'saynotovaccines', 'ivermectin', 'billgatesofhell']"
3,4byssalteeth,"scratch • he/him • monster enthusiast, funny creature, transgender furry antifa supersoldier",READ MY CARRD →,511,144,18509,243,"Horrifying: Photo of a man shortly after being injected with the Moderna vaccine. His facial muscles are strained and in a state of paralysis due to the dangerous 5g radiation contained within the vaccine. Still think vaccines are ""safe""? #SayNoToVaccines #VaccinesAreGenocide https://t.co/81ZSVQB5Xc",[]
4,symeonik,"hopeful romantic, history and language lover. 🇬🇷🇮🇹🇬🇧","Athens, Greece",1608,786,20297,1,"NOT  FREAKING CHANCE!
ONLY A COMPLETE MORON WOULD GET A VACCINE FOR A FLU WITH A 99.76% RECOVERY RATE
#SayNoToVaccines https://t.co/7ZdabyBVjG",['SayNoToVaccines']
5,symeonik,"hopeful romantic, history and language lover. 🇬🇷🇮🇹🇬🇧","Athens, Greece",1608,786,20297,1,"The virus was never the thing...it was the vaccine to depopulate the world by deaths and sterilisation.
#saynotovaccines https://t.co/E0OZStdnjv",['saynotovaccines']
6,englesou,,,18,0,139,0,"Apparently people think experimental vaccine and cure are the same thing.. 

#saynotovaccines #JustSayNO #JohnsonandJohnson","['saynotovaccines', 'JustSayNO', 'JohnsonandJohnson']"
7,TJSM21,"Mother, Grandma, Full time Carer, Socialist, Bibliophile, Treehugger, Tea drinker & Deep thinker",,1756,231,6732,0,How many more?? #saynotovaccines https://t.co/GixEPHYohY,['saynotovaccines']
8,david42762383,,,866,225,5751,0,"So how come your hell bent on vaccinating everything that moves if lockdowns prevent infection 
#saynotovaccines 
#COVID19 https://t.co/rHwnLMqLQG","['saynotovaccines', 'COVID19']"
9,TJSM21,"Mother, Grandma, Full time Carer, Socialist, Bibliophile, Treehugger, Tea drinker & Deep thinker",,1756,231,6732,1,"The virus was never the thing...it was the vaccine to depopulate the world by deaths and sterilisation.
#saynotovaccines https://t.co/E0OZStdnjv",['saynotovaccines']
