username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,label
AM_OC_,#oilpastels #penandink #canadian #yesLRT,hamilton ontario,365,127,603,174,"Schools are staying closed after the April Break because the Ontario Government didn’t follow the advice of experts and improve ventilation, reduce class sizes &amp; prioritize educators for the #COVIDVaccine.  

Instead they kept insisting…that “schools are safe.”

#UnsafeSchoolsON",[],
gattie35,Just trying to wrap my head around what's going on in and with the planet.,"Vancouver, Canada",334,47,4315,8,"So what people in Minneapolis who have appointments to get their #CovidVaccine after 7pm tonight supposed to do? 

Not get vaccinated? 

Outrageous.",['CovidVaccine'],
maclebass,I am an old-timey Batman villain. She/her.,Canada,982,292,6070,60,"[ON] UHN now accepting pre-registrations from people 18-49 years old in postal codes M5V, M6E, M6H: https://t.co/8ByWA9allD #COVID19 #COVID19Vaccine #COVID19ON #vhcON",[],
JanesRoadhouse,"To everything there is a season, a time to follow and a time to unfollow. 🍁hygge🍁","St. Louis, MO",514,311,1339,1,"Reminder - ALL Missouri adults are now eligible to get the COVID-19 vaccine!

Find a vaccine near you: https://t.co/sq3qQuZrtx https://t.co/8roVwUUGTk",[],
AlphaSig335,"IT Industry ""Professional"" #memcm 
All tots are my own... thoughts* 
RT this in a screen cap to win a prize!",Central Ohio,641,233,11171,1,That's a second dose of #moderna down. I did have one side effect https://t.co/foNrvKnjh5 #CovidVaccine #covid,"['moderna', 'CovidVaccine', 'covid']",
will_99_,"21, Politically Homeless",,516,369,13965,9,"BREAKING: The target of offering the #CovidVaccine to all 1-9 categories (over 50a plus vulnerable people) by April 15th has been reached ahead of schedule. 
https://t.co/kkZ4t4H3eC https://t.co/bqCb8hPVdP",['CovidVaccine'],
DickRNavis,So whatever I type will show up here? // Profile pic and header by @MattMcGuig - he/him,"Toronto, ON",878,368,5577,60,"[ON] UHN now accepting pre-registrations from people 18-49 years old in postal codes M5V, M6E, M6H: https://t.co/8ByWA9allD #COVID19 #COVID19Vaccine #COVID19ON #vhcON",[],
piper_frank,Soldier (HLI of C and 2nd Bn Canadian Guards) Writer. Teacher. Church consultant. Padre to Veterans. Loves his family. Loves God...RT's not necessarily ok's,,726,827,91012,174,"Schools are staying closed after the April Break because the Ontario Government didn’t follow the advice of experts and improve ventilation, reduce class sizes &amp; prioritize educators for the #COVIDVaccine.  

Instead they kept insisting…that “schools are safe.”

#UnsafeSchoolsON",[],
iLoveMUHAMMAD13,global TLP,"Toronto, Ontario",1031,648,7709,3,"Reportedly Rawat, Islamabad, where clash continues b/w forces and protestors just a while back.
STATE must step forward and lookout for a peaceful resolve.
#TLPNationWideProtest
#WeStandWithSaadRizvi
#TLP
#یہ_غداری_پڑے_گی_بھاری
#COVID19
#CovidVaccine https://t.co/MlqmbDk8DQ",[],
AltRwkr,Just keep swimming and sing like there's nobody listening!,"Los Angeles, CA",354,231,2648,0,"Shots shots shots shots shots
Shots shots shots shots shots
Shots shots shots shots shots
Shots, everybody #ididthething #covidvaccine #fauciouchie #onedownonetogo https://t.co/vbR6KjRAM1","['ididthething', 'covidvaccine', 'fauciouchie', 'onedownonetogo']",
