,topic,id,username,name,user_followers_count,user_friends_count,text,created_at,favorite_count,retweet_count,hashtags,mentioned_urls,mentioned_user_ids,mentioned_user_names
0,COVID-19,1384903583448150018,LSUCTP,LSU CTP,288,194,"RT @YouthResearchL: There is just over a week left until our Community Engagement in COVID-19 panel!

Register today to join our conversati…",2021-04-21 16:15:19,0,1,,,1172726674305310720,YouthResearchL
1,COVID-19,1384903582433087488,realmosuga,Maureen Suga,8,87,"RT @govkristinoem: We’ve resisted government mandates, and SD is stronger for it. I encourage all South Dakotans to get vaccinated against…",2021-04-21 16:15:18,0,163,,,235251868,govkristinoem
2,COVID-19,1384903582097580035,GloriaDWinn,byzybaba,293,161,"RT @OttawaCitizen: U.S. the biggest source of COVID-19 brought into Canada, study finds https://t.co/z9fKDBxHwv https://t.co/FQqJEOVFuQ",2021-04-21 16:15:18,0,1,,https://t.co/z9fKDBxHwv,23655688,OttawaCitizen
3,COVID-19,1384903580310773770,btcbraj,"BRAJ, PhD",2464,2232,"RT @MichaelPSenger: Imagine being the author of this BBC article on the murder of 228,000 children, who were at no real risk from COVID-19,…",2021-04-21 16:15:18,0,5,,,1679362640,MichaelPSenger
4,COVID-19,1384903580289835011,leedede,Naomi Dede!!,183,835,"RT @VaxHuntersCan: [ON] 40+ YORK REGION

The Stouffeville Soccer City Drive Thru Vaccination Clinic has TONS of appointments NEXT WEEK.

ht…",2021-04-21 16:15:18,0,4,,,1373531468744552448,VaxHuntersCan
5,COVID-19,1384903578813444098,P3aceMaster_Za8,‘∑ 𝙕𝙖𝙞𝙙,1864,483,"RT @wanariefimran: First to be affected, last to recover. Banyak sector lain dah recover but those in aviation &amp; relying on aviation (aviat…",2021-04-21 16:15:18,0,3,,,608802144,wanariefimran
6,COVID-19,1384903578289070086,DelCletus,Cletus Del Toro,1352,1919,RT @kylegriffin1: White House: President Biden will announce a paid leave tax credit that will offset the cost for employers with fewer tha…,2021-04-21 16:15:17,0,113,,,32871086,kylegriffin1
7,COVID-19,1384903578159026177,JSiculli,John Siculli,390,294,RT @MarkGerretsen: A summary of the major federal supports delivered to Ontario throughout the Covid-19 pandemic. #onpoli #cdnpoli 👇 https:…,2021-04-21 16:15:17,0,15,"onpoli,cdnpoli",,157152601,MarkGerretsen
8,COVID-19,1384903577806716936,ivimaltrivedi,Vimal Trivedi🇮🇳,97,395,@iUjaskhunt @harshmadhusudan that COVID-19 deaths are probably being undercounted rather than overcounted.,2021-04-21 16:15:17,0,0,,,"3267986238,791761225164152832","iUjaskhunt,harshmadhusudan"
9,COVID-19,1384903577488011274,FetalCareDallas,Fetal Care Center Dallas,56,92,RT @MidwivesRCM: RCM welcomes announcement from JCVI that pregnant women are now being offered the COVID-19 vaccine. More here: https://t.c…,2021-04-21 16:15:17,0,3,,,278072553,MidwivesRCM
10,COVID-19,1384903577332822022,sherrievapes,Sherrie Dorsey,69,135,RT @cjsnowdon: The banter hypothesis goes from strength to strength as yet another study finds smokers much less likely to be hospitalised…,2021-04-21 16:15:17,0,22,,,144658847,cjsnowdon
11,COVID-19,1384903576825253888,ThePRMonitor,The Puerto Rico Monitor,2536,91,Traveling to Puerto Rico? You’ll have to show negative COVID-19 test or face $300 fine https://t.co/AFgYtrmXLT,2021-04-21 16:15:17,0,0,,https://t.co/AFgYtrmXLT,,
12,COVID-19,1384903573889331200,nastya_nass___,Nastya Nass ♛,13213,226,"RT @tommy_viccetti: IS IT SAFE TO GET A COVID-19 VACCINE IF I HAVE AN UNDERLYING MEDICAL CONDITION? 

Yes. COVID-19 vaccination is especial…",2021-04-21 16:15:16,0,47,,,384979343,tommy_viccetti
13,COVID-19,1384903573796970499,pkoschel,Peter Koschel 🇭🇰 🦇🙂,536,1421,"RT @MichaelPSenger: Imagine being the author of this BBC article on the murder of 228,000 children, who were at no real risk from COVID-19,…",2021-04-21 16:15:16,0,5,,,1679362640,MichaelPSenger
14,COVID-19,1384903571611820037,anadoluagency,ANADOLU AGENCY (ENG),155837,24,Real Madrid midfielder Valverde contracts COVID-19 https://t.co/qcHL6i7Fjk https://t.co/00CyIGq7Qc,2021-04-21 16:15:16,0,0,,https://t.co/qcHL6i7Fjk,,
15,COVID-19,1384903571175583747,SecretaryAce,𝒮𝑒𝒸𝓇𝑒𝓉𝒶𝓇𝓎𝒜𝒸𝑒™,41584,8151,"RT @tommy_viccetti: IS IT SAFE TO GET A COVID-19 VACCINE IF I HAVE AN UNDERLYING MEDICAL CONDITION? 

Yes. COVID-19 vaccination is especial…",2021-04-21 16:15:16,0,47,,,384979343,tommy_viccetti
16,COVID-19,1384903570848428032,RethOmari,Reth Omari,435,463,"RT @PaulPage: Pfizer has identified the first confirmed counterfeit versions of the Covid-19 vaccine it developed with BioNTech, as crimina…",2021-04-21 16:15:16,0,27,,,19693661,PaulPage
17,COVID-19,1384903570831589378,aryan_kochhar,Aryan Kochhar 😷,293,662,RT @aryxnsharma: Made @MumbaiCOVIDbot for retweeting any COVID-19 related help requests in Mumbai. Please tag the bot on your help request/…,2021-04-21 16:15:16,0,354,,,"1125757371861520389,1382314955861467138","aryxnsharma,MumbaiCOVIDbot"
18,COVID-19,1384903570806513665,orum_holly,Gizzygoo1,255,245,RT @morgfair: Air COVID: Ted Nugent and Kristi Noem Flew Together While He Was Infected https://t.co/kdMG0n3ana via @thedailybeast,2021-04-21 16:15:16,0,45,,https://t.co/kdMG0n3ana,"156306739,16012783","morgfair,thedailybeast"
19,COVID-19,1384903570634518530,Sukhdev99905429,Sukhdev Singh,332,285,RT @_garrywalia: Delhi HC directs Centre to supply oxygen to hospitals for COVID-19 patients by whatever means its required,2021-04-21 16:15:16,0,225,,,2937934140,_garrywalia
20,COVID-19,1384903569976045571,sehof,Sense Hofstede,4626,1178,Another 11 Covid-19 cases detected at Westlite Woodlands foreign worker dorm in Singapore; hundreds to be moved to quarantine facility – The Straits Times https://t.co/IOr26scaOW,2021-04-21 16:15:16,0,0,,https://t.co/IOr26scaOW,,
21,COVID-19,1384903569619443715,PapiTip,水瀬(Mizuse) Penulis Kacamata✨,63,2150,"It’s too sad that Oxigen O2 is not enough in India due to the Covid-19.

Oxigen is essential to live.

God bless them. https://t.co/5vHnqHTSQO",2021-04-21 16:15:15,0,0,,https://t.co/5vHnqHTSQO,,
22,COVID-19,1384903568650551298,Gokulleopz,Gokul Krishna🌹,418,1488,"RT @deepigoyal: Today, along with thousands of our restaurant partners, we just rolled out a “priority delivery for covid emergencies'' fea…",2021-04-21 16:15:15,0,86,,,72481380,deepigoyal
23,COVID-19,1384903568386371585,DailyStarLeb,The Daily Star Lebanon,71778,182,"Lebanon's COVID-19 deaths top 7,000 https://t.co/H7y1y2axXe",2021-04-21 16:15:15,0,0,,https://t.co/H7y1y2axXe,,
24,COVID-19,1384903568327647232,charlyaztec,Carlos Estrada,24629,23317,RT @jmahrens: Covid-19 vaccines: What are the risks and benefits for each age group? EL PAÍS compares the likelihood of developing a blood…,2021-04-21 16:15:15,0,2,,,277524291,jmahrens
25,COVID-19,1384903568239497219,RaviPra63218986,Ravi Prakash,11,4,RT @CkzSai: We are not ready to write exams in covid 19 pandemic as the cases increasing rapidly so please cancel ap 10th and inter exam's…,2021-04-21 16:15:15,0,4,,,1384472333520277504,CkzSai
26,COVID-19,1384903567404937216,Ted18641,Ted Grimes,144,480,RT @COB_ONS: Residents ages 16 and older can now receive the #COVID19 vaccine! It's still critical that we follow safety guidelines to #slo…,2021-04-21 16:15:15,0,1,COVID19,,2719691259,COB_ONS
