,Tweets
0,RT @BBCAfrica: Johnson &amp; Johnson says it will supply up to 400m doses of its vaccine to the African Union's member states.
1,The jab is a sin…
2,"U.S. Is In A Race Between Vaccines And Variants, Says Public Health Expert https://t.co/Nla3dOala4 https://t.co/RmEdHWUbks"
3,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
4,PLEASE DISCUSS EFFICACY WITH YOUR ANTI-VAXXAR CONTACTS
5,Virus medicine works best when everyone takes it.
6,@CDCgov #knowledge 
7,https://t.co/2oIJXnmTkr
8,"After they screwed up and undermined efforts to make covid-19 vaccines fairly and equitably available globally, why would we trust them with designing a global treaty to protect all of us? Capitalism, nationalism and greed do not protect against pandemics https://t.co/HZTWdYwO59"
9,"RT @pbhushan1: With new Vaccine resistant Covid variants creating a fresh wave, after mass vaccination; followed by fresh Lockdowns&amp;then ne…"
10,"RT @zeynepyenisey: side note: ""anti-vaxxer"" is an idiotic label for this situation. you're more than welcome to get 10 vaccines if you want…"
11,RT @guardian: Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
12,"@priyankac19 When the Maharashtra Government is not able to handle the corona because they were not able to build enough health infrastructures in the given time, their spokespersons are out there demanding Vaccine for all to hide their failures."
13,U Shld share the data of Vaccines used in Maha
14,"RT @DrTomFrieden: Important: CDC finds that vaccines prevent Covid infection. That means once you're vaccinated, you're much less likely to…"
15,RT @SeanBurkeShow: The UK donating vaccines to Ireland. https://t.co/Bdxh77wDaP
16,"RT @ossoff: Today: Atlanta, Macon, Columbus"
17,Read @ANI Story | https://t.co/Xya6q1wP4p https:…
18,My report on Cross-border health threats proposes an International #pandemictreaty to: 
19,??Strengthen preparedness &amp; response to pandemics
20,??Ensure universal and equitable right to #medicines #vaccines
21,??Fight against #fakenews   
22,@eucopresident 
23,@DrTedros 
24,@EmmanuelMacron https://t.co/Vt1MAskTr1
25,RT @tehseenp: .#Covid_19 cases in Maharashtra &amp; India are increasing.
26,"Vaccines are here in Maharashtra, yet many Indians don't have access,…"
27,RT @Boringstein: there should be massive public &amp; international pressure right now on the biden administration to void all copyrights &amp; pat…
28,RT @DrHubaEvaluator: Visualizing Global Attitudes Towards the COVID-19 Vaccines https://t.co/wHruIxR7w5 https://t.co/kIQMgiRlZ7
29,"@MonicaPerezShow First round was the old and the sick. This round it’s milder, more aggressive and hits younger people. This is 100% bio-warfare waged to push vaccines and transition into the Great Reset."
30,Sorry to be a conspiracy theorist but I’ve read too much and connected too many dots! ??
31,"RT @paddycosgrave: Could every Irish cabinet minister clarify that they have not received a COVID vaccination by way of a private clinic, p…"
32,RT @MrsNoone47: So GlaxoSmithKline at Barnard Castle have got the contract to bottle 60m Norovax vaccines and this has absolutely nothing t…
33,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
34,RT @pettet50: First Janssen vaccines expected on April 19 https://t.co/HRUrxsFjN9 
35,cc: @DrJDrooghaag @Victoryabro @Nicochan33 @kuriharan @S…
36,"RT @alyhdi: CDC study finds Pfizer, Moderna vaccines are 90% effective after two doses in real-world conditions"
37,@WHO @alykhansatchu
38,@RiazGi…
39,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
40,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
41,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
42,RT @CDCgov: #DYK? #COVID19 vaccines are free for everyone. The federal government is providing vaccines free of charge to all people living…
43,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
44,RT @fascinatorfun: We Need to Vaccinate Kids
45,“The most important &amp; least recognized reason to vaccinate all children quickly is the possib…
46,RT @Jean_UNICEF: Starting the week with good news from Guyana????!
47,"The arrival of the first batch of 24,000 doses of vaccines against #COVID…"
48,"Gonna have to ask you to stop comparing the Irish vaccine rollout to the US and UK; places where they manufacture lots of vaccines, and are refusing to share them with the rest of the world until their own populations are vaccinated."
49,"RT @_juiceko: If this government will use the vaccines as leverage for their political survival, and the people still vote for them.. Then…"
50,RT @Antcon7062: This guy was using vaccines like personal trinkets to bestow. They’re not his and they never were. It was a stupid idea to…
51,RT @FreedomIsrael_: Israel - Pfizer's Chosen People
52,4 minute video
53,Please watch
54,Please share
55,#Israel #Pfizer #COVID #MedicalApartheid 
56,#V…
57,RT @alexwickham: Epic trolling: Boris Johnson announces 60 million Novavax vaccines to be made at Barnard Castle plant of GSK
58,"RT @pbhushan1: Amazing how Govt&amp;media is hyping the fresh Covid wave&amp; Vaccines, w/o asking whether fresh wave is due to UK &amp; South African…"
59,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
60,@BrexitCelebrity What did the animal testing part of the vaccine trials tell us about safety of the vaccines?
61,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
62,RT @SeanBurkeShow: The UK donating vaccines to Ireland. https://t.co/Bdxh77wDaP
63,RT @klimtsonian: the @SacAnime account is now hiding any replies to their tweets criticizing their decision to prioritize selling anime mer…
64,Top Cuomo officials 'threatened' nursing home reps during heated call about COVID vaccines https://t.co/gmOJeRUy5B via @nypmetro
65,RT @pbhushan1: Listen to Dr Penny Moore explaining lucidly the scientific studies which show that the antibodies produced by most current v…
66,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
67,"RT @sumanthraman: Govt of India immediately needs to approve more #Covid vaccines like Pfizer, Moderna and J&amp;J. Already evaluation is going…"
68,Even the the small burden of serious cases in children merits immunisation.
69,We Can’t End the Pandemic Without Vaccinating Kids https://t.co/yWRrbCXikw
70,"RT @Reuters: Pfizer, Moderna COVID-19 vaccines highly effective after first shot in real-world use, - U.S. study https://t.co/nXZd7KzETx ht…"
71,RT @Milhouse_Van_Ho: Vaccine passports and vaccines are completely different things. You can be the most pro-vaccine person on the planet a…
72,"RT @thouse_opinions: El #Salvador, #Ethiopia and #Kazakhstan become the latest countries to add #China's #COVID19 #vaccines to their inocul…"
73,RT @WajahatAli: I still wear my mask and social distance after my second shot because we're still in a pandemic. Not that hard. 
74,https://t.…
75,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
76,RT @Milhouse_Van_Ho: Vaccine passports and vaccines are completely different things. You can be the most pro-vaccine person on the planet a…
77,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
78,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
79,Pedigree Rottweiler with database available for sale in Ibadan! 
80,Age: 8 weeks (2 months old)
81,Sex: Male 
